label,power,vector_x,vector_y
c1,0.0,3.0000000000000000,0.0000000000000000
c2,0.0,0.0000000000000000,4.0000000000000000
g1,0.0,-0.514253395283628,1.5544057848363935
g2,0.0,-0.6853941209781506,-1.2774768037336497
g3,0.0,-1.4249106637482511,0.40265774629772044
g4,0.0,1.3217372396471925,0.03334958617919769
g5,0.0,0.9740441720467746,0.004519123593874496
g6,0.0,0.3906094226451658,-0.9681990863158131
g7,0.0,0.39273971709141364,-1.4898561475991974
g8,0.0,-1.30291163430014,-0.9227968174301376
g9,0.0,0.27359004590905467,0.02792792627808982
g10,0.0,0.7471134212626388,0.20258457710153302
g11,0.0,0.04555192969193374,-0.8507892189914376
g12,0.0,-0.2780672986145909,1.8119488407695923
