label,power,vector_x,vector_y
c1,0.0,3.0000000000000000,0.0000000000000000
c2,0.0,0.0000000000000000,4.0000000000000000
g1,0.0,2.33958362594537,1.0125942145163185
g2,0.0,-2.4411451768599246,-1.5189095526554799
g3,0.0,0.14167173749689962,0.5055632463957123
g4,0.0,1.8702670389120515,-0.42312412708367064
g5,0.0,0.3294088810987895,2.023133061282338
g6,0.0,0.006768034183279993,0.3536949949586976
g7,0.0,0.6176194620639585,-0.33857974276515446
g8,0.0,0.15452299955927065,2.3950488387510536
g9,0.0,1.766735448264455,-0.5230004993411796
